hashtag	num_langs	de_count	en_count	es_count	pt_count	tr_count	pl_count
HayvanaSiddetSuctur	2	1	0	0	0	2704	0
BedelliAskerlik	2	8	0	0	0	4263	0
bedelliaskerlik	2	246	0	0	0	24888	0
porn	2	6	0	0	0	4935	0
ErkenciKuş	2	9	0	0	0	2194	0
EmeklilikteYaşaTakılanlar	2	2	0	0	0	24946	0
Maltepe	2	10	0	0	0	1381	0
Cumartesi	2	4	0	0	0	8982	0
erotik	2	42	0	0	0	4270	0
10Kasım	2	2	0	0	0	2307	0
pazar	2	55	0	0	0	38782	0
WorldCup	4	263	0	2069	590	3984	0
BVB	2	964	0	0	0	16	0
Trump	2	1548	0	0	0	172	0
NewEraWithErdogan	2	6	0	0	0	877	0
izmir	2	12	0	0	0	18450	0
picemiyeti	2	25	0	0	0	46620	0
DirilişErtuğrul	2	10	0	0	0	914	0
NeşetErtaş	2	12	0	0	0	1247	0
bist100	2	5	0	0	0	6330	0
SonSayfa	2	13	0	0	0	3412	0
FenerinMaçıVar	2	22	0	0	0	3791	0
kimbufaladdin	2	5	0	0	0	5772	0
BugünGünlerdenGALATASARAY	2	44	0	0	0	3640	0
Antalya	2	3	0	0	0	1930	0
GER	2	1507	0	0	0	568	0
deprem	2	10	0	0	0	6462	0
IBES	2	4008	0	0	0	6	0
Bursa	2	1	0	0	0	2166	0
çarpışma	2	80	0	0	0	12174	0
AhBuSevdaluk	2	4	0	0	0	942	0
Yunanistan	2	6	0	0	0	1714	0
Donuyoruz	2	2	0	0	0	1940	0
PCAs	2	3	0	0	0	3376	0
pazartesi	2	52	0	0	0	37199	0
DEVAM	2	85	0	0	0	1624	0
incenerede	2	15	0	0	0	6150	0
survivor	2	68	0	0	0	11814	0
Kadın	2	6	0	0	0	1320	0
ClearileHaftanınGolü	2	6	0	0	0	929	0
çarşamba	2	10	0	0	0	17743	0
Maaßen	2	1800	0	0	0	2	0
Trabzonspor	2	52	0	0	0	1134	0
HiLeon	2	1	0	0	0	5070	0
FirstDates	2	2450	0	0	0	4	0
ReisÇünkü	2	8	0	0	0	2418	0
TeenChoice	2	1	0	0	0	7576	0
mersin	2	12	0	0	0	8260	0
PromiBB	2	1156	0	0	0	6	0
VakitTürkiyeVakti	2	5	0	0	0	2416	0
BaşkanErdoğan	2	4	0	0	0	3534	0
MTVLAFANARMYBTS	2	1	0	0	0	1934	0
Perşembe	2	10	0	0	0	2967	0
survivorekstra	2	5	0	0	0	5268	0
yks2018	2	10	0	0	0	20976	0
AzCen	2	1	0	0	0	2480	0
KORGER	2	851	0	0	0	24	0
Çarpışma	2	14	0	0	0	3062	0
HilMur	2	6	0	0	0	2391	0
México	2	0	0	1688	2	0	0
OT18Gala3	2	0	0	10450	18	0	0
MasterChef	1	0	0	4788	0	0	0
OT2018	2	0	0	2209	21	0	0
podcast	4	512	0	16530	35	0	19
ILPJusapol	2	0	0	2115	7	0	0
Barcelona	2	0	0	9902	7	0	0
MundialRusia2018	2	0	0	1922	4	0	0
Sevilla	2	0	0	7106	2	0	0
ecommerce	2	0	0	9815	5	0	0
GHDÚOEstreno	2	0	0	4665	2	0	0
Eurovision2018	2	0	0	2956	5	0	0
E32018	2	0	0	4789	1	0	0
eurovision	4	528	0	141657	87	0	2083
Extremadura	2	0	0	1764	1	0	0
UCL	2	0	0	2006	80	0	0
OT18GalaNavidad	2	0	0	2919	5	0	0
Eurovision	2	0	0	29461	29	0	0
Asturias	2	0	0	3376	1	0	0
OT18Gala12	2	0	0	6603	4	0	0
art	4	477	0	9990	51	0	86
FelizAñoNuevo	2	0	0	1838	2	0	0
viajar	2	0	0	9040	18	0	0
amor	2	0	0	8705	40	0	0
ChampionsLeague	2	0	0	2303	28	0	0
Affinitweet	2	0	0	3663	33	0	0
música	2	0	0	13386	38	0	0
Navidad	2	0	0	6670	4	0	0
marketing	2	0	0	46726	25	0	0
nv	2	0	0	30218	54	0	0
FIFA19	2	0	0	1552	36	0	0
Venezuela	2	0	0	5301	11	0	0
photography	2	0	0	12995	93	0	0
instagram	4	235	0	10493	40	0	148
realmadrid	2	0	0	16487	20	0	0
LlibertatPresosPolítics	1	0	0	1769	0	0	0
SomosLaAudiencia1N	2	0	0	2240	1	0	0
TCMS	2	0	0	1744	5	0	0
Insatiable	2	0	0	1699	3	0	0
OT18Gala6	2	0	0	6610	17	0	0
Facebook	2	0	0	2558	14	0	0
fotografia	2	0	0	5880	100	0	0
PS4	2	0	0	2892	4	0	0
MotoGP	2	0	0	1886	4	0	0
PS4share	2	0	0	13080	124	0	0
Murcia	2	0	0	3899	1	0	0
YaNoQuieroNa	2	0	0	1529	18	0	0
NV	2	0	0	2457	12	0	0
Messi	2	0	0	1445	116	0	0
TuitUtil	2	0	0	176291	3711	0	0
Madrid	2	0	0	14563	8	0	0
cultura	2	0	0	14597	30	0	0
MiAniversarioDeTwitter	1	0	0	0	8	0	0
online	2	0	0	11004	18	0	0
FRA	2	0	0	1614	8	0	0
MiVotoLCA	2	0	0	2164	2	0	0
