hashtag	num_langs	de_count	en_count	es_count	pt_count	tr_count	pl_count
spd	2	2267	0	0	0	0	28
tweetme	1	17	0	0	0	0	0
gntm	1	464	0	0	0	0	0
fivbmenswch	1	2	0	0	0	0	0
egzaminzawodowy	1	1	0	0	0	0	0
pad	1	2	0	0	0	0	0
fakenews	2	1825	0	0	0	0	322
история	1	1	0	0	0	0	0
bremen	1	724	0	0	0	0	0
news	2	918	0	0	0	0	603
xfactor	2	35	0	0	0	0	594
poresp	1	179	0	0	0	0	0
thevoiceofpoland	1	2	0	0	0	0	0
riverdale	1	89	0	0	0	0	0
stuttgart	1	793	0	0	0	0	0
dortmund	1	583	0	0	0	0	0
wattpad	1	11	0	0	0	0	0
wrocław	1	2	0	0	0	0	0
mojadziewczyna	1	1	0	0	0	0	0
hannover	1	643	0	0	0	0	0
tanieczgwiazdami	1	2	0	0	0	0	0
bochum	1	370	0	0	0	0	0
bundesliga	1	368	0	0	0	0	0
fitsierpien	1	1	0	0	0	0	0
hsv	1	812	0	0	0	0	0
ue	1	4	0	0	0	0	0
matura2019	1	1	0	0	0	0	0
skijumping	1	3	0	0	0	0	0
leipzig	1	597	0	0	0	0	0
digitalisierung	1	750	0	0	0	0	0
skijumpingfamily	1	11	0	0	0	0	0
fcn	2	1101	0	0	0	0	2
köln	1	452	0	0	0	0	0
fitlistopad	1	1	0	0	0	0	0
dfbpokal	1	382	0	0	0	0	0
dfb	1	711	0	0	0	0	0
inmyblood	1	2	0	0	0	0	0
minęła20	1	1	0	0	0	0	0
usa	1	377	0	0	0	0	0
dividetourwarsaw	1	1	0	0	0	0	0
vfb	1	943	0	0	0	0	0
mjakmilosc	1	1	0	0	0	0	0
новости	1	182	0	0	0	0	0
woronicza17	1	2	0	0	0	0	0
rus	1	17	0	0	0	0	0
münchen	1	438	0	0	0	0	0
dsds	1	601	0	0	0	0	0
amerykaexpress	1	2	0	0	0	0	0
top	1	561	0	0	0	0	0
wetter	1	4082	0	0	0	0	0
thevoicekids	2	15	0	0	0	0	4677
polizei	1	462	0	0	0	0	0
groko	1	433	0	0	0	0	0
brexit	1	494	0	0	0	0	0
hambacherforst	1	518	0	0	0	0	0
croeng	1	214	0	0	0	0	0
lanz	1	497	0	0	0	0	0
katowice	1	14	0	0	0	0	0
putin	1	520	0	0	0	0	0
titanic	1	30	0	0	0	0	0
bachelor	1	660	0	0	0	0	0
grammys	1	9	0	0	0	0	0
adamowicz	1	1	0	0	0	0	0
polsen	1	41	0	0	0	0	0
agentgwiazdy	1	1	0	0	0	0	0
merz	1	372	0	0	0	0	0
effzeh	1	719	0	0	0	0	0
s04	1	727	0	0	0	0	0
polita	1	1	0	0	0	0	0
wirsindmehr	1	439	0	0	0	0	0
essen	1	388	0	0	0	0	0
sluchamymyblood	1	1	0	0	0	0	0
onedirectionbestfans	1	15	0	0	0	0	0
bundestag	1	455	0	0	0	0	0
dsgvo	1	682	0	0	0	0	0
fracro	1	492	0	0	0	0	0
topmodel	1	9	0	0	0	0	0
rannfl	1	506	0	0	0	0	0
gronkhtv	1	410	0	0	0	0	0
csu	1	950	0	0	0	0	0
erdogan	1	390	0	0	0	0	0
ﷺ	1	548	0	0	0	0	0
mojetwitteroweurodziny	1	1	0	0	0	0	0
ruscro	1	177	0	0	0	0	0
noafd	1	396	0	0	0	0	0
frabel	1	198	0	0	0	0	0
dresden	1	752	0	0	0	0	0
mojcrush	1	7	0	0	0	0	0
frankfurt	1	668	0	0	0	0	0
netflix	1	274	0	0	0	0	0
job	1	526	0	0	0	0	0
nürnberg	1	424	0	0	0	0	0
mtvemabiggestfansshawn	1	1	0	0	0	0	0
brabel	1	236	0	0	0	0	0
f1pl	1	2	0	0	0	0	0
detektivconan	1	478	0	0	0	0	0
argcro	1	167	0	0	0	0	0
fpl	1	5	0	0	0	0	0
pis	1	1	0	0	0	0	0
tweetmekurwa	1	1	0	0	0	0	0
mastercardgrazwośp	1	3	0	0	0	0	0
acta2	1	1	0	0	0	0	0
mastercardgrazwosp	1	1	0	0	0	0	0
kaczyński	1	1	0	0	0	0	0
mundial2018	1	1	0	0	0	0	0
bonn	1	609	0	0	0	0	0
polska	1	2	0	0	0	0	0
cdu	1	1035	0	0	0	0	0
mtvhottest	1	20	0	0	0	0	0
bayern	1	493	0	0	0	0	0
özil	1	434	0	0	0	0	0
eu	1	528	0	0	0	0	0
россия	1	2	0	0	0	0	0
shawnmendesthetourkrakow	1	1	0	0	0	0	0
5sosbestfans	1	1	0	0	0	0	0
polcol	1	66	0	0	0	0	0
fcsp	1	410	0	0	0	0	0
elevenf1	1	1	0	0	0	0	0
latenightberlin	1	481	0	0	0	0	0
8yearsofonedirection	1	1	0	0	0	0	0
deutschland	1	710	0	0	0	0	0
youngblood	1	3	0	0	0	0	0
polbra	1	1	0	0	0	0	0
germex	1	717	0	0	0	0	0
