	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist	Estimate	Std. Error	P-value	Robust Std. Error	Robust P-value	Treated_Outcome0	Treated_Outcome1	Untreated_Outcome0	Untreated_Outcome1	Treated
99	IT_SE	IT	0.179103974209171	1.54791833222198	1.156273197115	0.805967484949693	1.25631882740106	1.23113763213986		SE	IT	ITA	IT	it	60421760.0	SE	SE	SWE	sv	10175214.0	10769.0	6011.0	5906811.0	1599514.0	3236664.0	312761.0	0.0535678537003887	0.0307375353481509	0.0977596647300575	0.1571970869605297	0.0067326700485272	0.0010176387902033	50246546.0	5.938131620622427	0	0	1980.1220703125	5461085.5	4627914.75	1.0	1.0	60297.398	10285.453	ITA	SWE	2003576145.498	530883869.005	33.228	51.615	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	15.513158137484902	15.347616946642034	11.007044230872143	9.238485845842446	21.418199493556337	20.090053852848552	3.5033928939768253	3.9438123279175534	0.0	7.590913773461175	1.23113763213986	0.33146323653361	0.530440251778216	0.344299392234511	0.545878761677755	294	9	158054	1521	303
100	AT_NL	NL	-0.0254978583826985	1.34219655906194	1.12522439678513	1.26113117890309	0.980060489025748	1.97916112410955	2.14531837552723	AT	NL	NLD	NL	nl	17231624.0	AT	AT	AUT	de	8840521.0	8418.0	6594.0	2028487.0	1593398.0	1019145.0	510455.0	0.0591438740771038	0.0577403752561642	0.1177188522683642	0.1802380199085551	0.0052830491816859	0.0032506986734447	8391103.0	1.949163855840623	0	0	934.782775878906	8622269.0	3444747.25	1.0	1.0	17332.85	8877.067	NLD	AUT	907050863.145	445075391.688	52.331	50.138000000000005	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3	0	15.969858833060243	15.052361092539552	9.760358823891288	9.091226488634744	20.625709084946987	19.913754245304244	3.957588929698953	3.914779203621863	0.0	6.840314177033791	1.97916112410955	0.112216189619775	1.1800636073143e-09	0.136991447304943	6.25004254621441e-07	2670	95	89309	685	2765
101	DE_NL	NL	0.0305670578133115	1.40013157647519	1.13987533580384	1.31543688464648	1.00434078683536	2.08406270381782	2.4897125400194	DE	NL	NLD	NL	nl	17231624.0	DE	DE	DEU	de	82905782.0	149160.0	118584.0	2028487.0	12035240.0	1019145.0	4142199.0	0.0591438740771038	0.0499627275694715	0.1177188522683642	0.1451676796197399	0.0123936041159129	0.0584593344694839	-65674158.0	0.2078458653221557	1	0	173.523864746094	170648936.0	97734688.0	1.0	1.0	17332.85	83132.797	NLD	DEU	907050863.145	3861123558.039	52.331	46.445	1.0	1.0	1.0	7.0	9.0	0.0131086142322097	0.0066127847171197	3	0	18.95511899831367	18.39776710005844	9.760358823891288	11.328194572055592	20.625709084946987	22.07422405528057	3.957588929698953	3.838268816839484	0.0	5.156315138896764	2.08406270381782	0.108507044633147	1.3182000789964099e-11	0.133698305730164	3.96598165050496e-08	2743	102	89248	678	2845
102	DK_NL	NL	0.014386650681545		0.978145920049151		1.85059548231915	0.16874265846064		DK	NL	NLD	NL	nl	17231624.0	DK	DK	DNK	da	5793636.0	6309.0	3581.0	2028487.0	557573.0	1019145.0	259282.0	0.0591438740771038	0.0447528978347966	0.1177188522683642	0.0962388731359719	0.0113151103084259	0.0017653551637254	11437988.0	2.9742331068089194	0	0	622.974060058594	8039117.75	5688351.0	1.0	1.0	17332.85	5818.553000000001	NLD	DNK	907050863.145	350104327.65900004	52.331	60.17	1.0	1.0	1.0	1.0	0.0	0.0018726591760299	0.0	2	1	15.899829902547024	15.55393095742206	9.760358823891288	8.668806884383505	20.625709084946987	19.67374174705672	3.957588929698953	4.09717388923226	0.0	6.434504880775489	0.16874265846064	0.921796096247285	0.0535676911258942	1.02386686984514	0.0822280531494839	1241	1	91387	130	1242
103	EE_NL	NL	0.0499978020614644	1.61701785859979	0.662042469588982	0.977347743220298	0.341715732555147	0.203590385896466	0.610509505108852	EE	NL	NLD	NL	nl	17231624.0	EE	EE	EST	et	1321977.0	319.0	1098.0	2028487.0	134370.0	1019145.0	201868.0	0.0591438740771038	0.1527015976828643	0.1177188522683642	0.1016432207216918	0.002374041824812	0.0005412901339767	15909647.0	13.03473812328051	0	0	1459.08325195312	872155.875	477002.7655	1.0	2.0	17332.85	1326.59	NLD	EST	907050863.145	31471100.656	52.331	23.723000000000003	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0	3	13.67872344265016	13.075277567547593	9.760358823891288	7.190367018995804	20.625709084946987	17.26458024319861	3.957588929698953	3.166445041680228	1.0	7.285563607863424	0.203590385896466	1.1792630731873	0.177117201107362	1.01977319730321	0.118574833529962	649	1	91848	261	650
104	ES_NL	NL	0.0742362455222395		1.48571645614786	1.77831658634736	1.76506975318169	2.02022679967987		ES	NL	NLD	NL	nl	17231624.0	ES	ES	ESP	es	46797754.0	44648.0	26250.0	2028487.0	6105479.0	1019145.0	1453098.0	0.0591438740771038	0.0310505927271637	0.1177188522683642	0.1304652142066476	0.0073127759509122	0.0129406794325031	-29566130.0	0.3682147651786878	0	0	1481.36584472656	21166914.0	11048441.0	1.0	1.0	17332.85	47076.782	NLD	ESP	907050863.145	1393490524.518	52.331	29.6	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1	2	16.86794986016591	16.217799890001622	9.760358823891288	10.75953520729641	20.625709084946987	21.05507760509136	3.957588929698953	3.387774361330014	0.0	7.300719809235737	2.02022679967987	0.532252501283995	0.186439337471531	0.411799915214434	0.087701459540029	812	7	91762	182	819
105	FR_NL	NL	0.124859297266124	1.02084616881314	1.07759808936925	1.00565016157766	1.03310072727588	0.921753521871523	1.27523207590564	FR	NL	NLD	NL	nl	17231624.0	FR	FR	FRA	fr	66965912.0	44504.0	25160.0	2028487.0	7969551.0	1019145.0	2207397.0	0.0591438740771038	0.0329629946651066	0.1177188522683642	0.1190090713615607	0.0055842543701646	0.0124033331246392	-49734288.0	0.2573193358435856	0	0	427.916900634766	55931108.0	20080664.0	1.0	1.0	17332.85	67059.891	NLD	FRA	907050863.145	2715518274.227	52.331	40.494	1.0	1.0	1.0	5.0	44.0	0.0093632958801498	0.0312056737588652	1	2	17.83963127707893	16.81526791997016	9.760358823891288	11.11334139460882	20.625709084946987	21.72224866501587	3.957588929698953	3.7011538149893246	0.0	6.058929019335404	0.921753521871523	0.17292496662087	0.637518943294649	0.187581889118599	0.664029549275815	1141	35	90431	1158	1176
106	GB_NL	NL	0.08899986940644	2.67257011301103	0.724364331181952	2.13768599348837	1.95731127951701	0.119039397137133	2.19801577347961	GB	NL	NLD	NL	nl	17231624.0	GB	GB	GBR	en	66460344.0	72000.0	50194.0	2028487.0	9063422.0	1019145.0	4820072.0	0.0591438740771038	0.0725255349265119	0.1177188522683642	0.1363733838031292	0.0079440193781112	0.0247445509880023	-49228720.0	0.2592767801502803	0	0	360.315032958984	55738310.0	30752227.0	1.0	0.0	17332.85	66834.40400000001	NLD	GBR	907050863.145	2829108219.166	52.331	42.33	1.0	1.0	1.0	9.0	6.0	0.0168539325842696	0.0022607385079125	3	0	17.836178260218645	17.241472972358626	9.760358823891288	11.10997325688246	20.625709084946987	21.76322738203932	3.957588929698953	3.745496054532832	-1.0	5.886978740333507	0.119039397137133	0.116802204644118	4.70187577301732e-74	2.17021827263748	0.326748042781179	55186	795	36737	134	55981
107	IE_NL	NL	0.084233247397453	2.63756785730744	0.711454320878218	2.17695373298867	1.81706751945859	0.120873626693843	2.22623031519375	IE	NL	NLD	NL	nl	17231624.0	IE	IE	IRL	en	4867316.0	5355.0	5451.0	2028487.0	836534.0	1019145.0	770861.0	0.0591438740771038	0.1583749647649752	0.1177188522683642	0.1718676165673237	0.0064014134512165	0.0026872245175837	12364308.0	3.5402722979153194	0	0	756.726867675781	5296018.75	10335703.5	1.0	1.0	17332.85	4941.444	NLD	IRL	907050863.145	388698711.3480001	52.331	78.661	1.0	1.0	1.0	2.0	2.0	0.0037453183520599	0.0133333333333333	3	0	15.48246591700057	16.151114818447553	9.760358823891288	8.505412875160706	20.625709084946987	19.778315080530103	3.957588929698953	4.365147479864629	0.0	6.629002379447543	0.120873626693843	0.116744256981708	4.30106949340451e-73	2.14481151279029	0.324539262222845	54851	793	36981	136	55644
108	IT_NL	NL	0.0222680771633161	2.66559511013144	1.50339781811375	2.59633772535317	1.59516963960696	2.10923973685412		IT	NL	NLD	NL	nl	17231624.0	IT	IT	ITA	it	60421760.0	12685.0	27624.0	2028487.0	5906811.0	1019145.0	3236664.0	0.0591438740771038	0.0535678537003887	0.1177188522683642	0.0977596647300575	0.0021475208873282	0.0136180315673701	-43190136.0	0.2851890444766918	0	0	1297.69458007812	27023012.0	13338924.0	1.0	1.0	17332.85	60297.398	NLD	ITA	907050863.145	2003576145.498	52.331	33.228	1.0	1.0	1.0	2.0	0.0	0.0037453183520599	0.0	1	2	17.11219935726665	16.40619693552842	9.760358823891288	11.007044230872143	20.625709084946987	21.418199493556337	3.957588929698953	3.5033928939768253	0.0	7.168344569174487	2.10923973685412	0.26340744333209	0.0046071714395401	0.277026428959159	0.0070586121003156	394	15	91638	715	409
