	Country Pair	Country	betweenness	domain	hashtag	entertainment	politics	sports	promotion	Other Country	alpha2	alpha3	country	language	total_pop_2018	Other Country_other	alpha2_other	alpha3_other	language_other	total_pop_2018_other	num_migrants_c1_c2	num_migrants_c2_c1	num_migrants_dest_c1	num_migrants_dest_c2	num_migrants_source_c1	num_migrants_source_c2	percent_migrants_source_c1	percent_migrants_source_c2	percent_migrants_dest_c1	percent_migrants_dest_c2	percent_c2_migrants_from_c1	percent_c1_migrants_from_c2	population_difference	population_ratio	contiguous	historically_same_country	distance	tradeflow_country_to_other	tradeflow_other_to_country	timezone	timezone_other	pop	pop_other	iso3_o	iso3_d	gdp_o	gdp_d	gdpcap_o	gdpcap_d	eu_o	eu_d	rta	num_conflicts_c1_to_c2	num_conflicts_c2_to_c1	percent_conflicts_c1_to_c2	percent_conflicts_c2_to_c1	linguistic_closeness	linguistic_distance	log_trade_c1_c2	log_trade_c2_c1	log_pop_o	log_pop_d	log_gdp_o	log_gdp_d	log_gdpcap_o	log_gdpcap_d	time_difference_c2_c1	log_dist	Estimate	Std. Error	P-value	Robust Std. Error	Robust P-value	Treated_Outcome0	Treated_Outcome1	Untreated_Outcome0	Untreated_Outcome1	Treated
32	ES_FR	FR	0.0604320843206455	2.13653215549829	1.42158660175857	1.36941109680117	1.28559836294184	1.58793885274507	1.10330380780955	ES	FR	FRA	FR	fr	66965912.0	ES	ES	ESP	es	46797754.0	202792.0	315179.0	7969551.0	6105479.0	2207397.0	1453098.0	0.0329629946651066	0.0310505927271637	0.1190090713615607	0.1304652142066476	0.033214756778297	0.0395478992480253	20168158.0	1.430964229608113	1	0	1054.65637207031	42216734.0	49088204.0	1.0	1.0	67059.891	47076.782	FRA	ESP	2715518274.227	1393490524.518	40.494	29.6	1.0	1.0	1.0	15.0	9.0	0.0106382978723404	0.0276073619631901	3	0	17.55832724068928	17.709129319502257	11.11334139460882	10.75953520729641	21.72224866501587	21.05507760509136	3.7011538149893246	3.387774361330014	0.0	6.9609702791765145	1.28559836294184	0.0602525978129326	3.05276806254346e-05	0.0536141192002261	2.78888238657965e-06	29888	572	775331	5126	30460
33	FI_FR	FR	0.0530283227527015		1.58027706695902	3.15034757384001	0.975779002175048			FI	FR	FRA	FR	fr	66965912.0	FI	FI	FIN	fi	5515525.0	2399.0	3886.0	7969551.0	265136.0	2207397.0	292426.0	0.0329629946651066	0.0530187062881593	0.1190090713615607	0.0480708545424053	0.0090481865910325	0.0004876058889641	61450387.0	12.141348647680864	0	0	1911.13818359375	2248652.0	2316968.75	1.0	2.0	67059.891	5520.314	FRA	FIN	2715518274.227	269296310.18	40.494	48.783	1.0	1.0	1.0	0.0	4.0	0.0	0.0851063829787234	0	3	14.625841483530715	14.65577031605554	11.11334139460882	8.616190021711276	21.72224866501587	19.41132285616549	3.7011538149893246	3.887381891511695	1.0	7.555454251198929	0.975779002175048	1.32275610369566	0.985210935565071	0.877239436491659	0.977701749597145	619	2	809536	691	621
34	FR_GB	FR	0.0518814020792622	2.3651914308095	1.22591968913809	1.65606863950612	1.37156108951407	0.874581721999563	1.38574945421213	GB	FR	FRA	FR	fr	66965912.0	GB	GB	GBR	en	66460344.0	164000.0	188161.0	7969551.0	9063422.0	2207397.0	4820072.0	0.0329629946651066	0.0725255349265119	0.1190090713615607	0.1363733838031292	0.0180947108056978	0.0236099875639167	505568.0	1.0076070626417462	0	0	342.947479248047	38590598.0	28966670.0	1.0	0.0	67059.891	66834.40400000001	FRA	GBR	2715518274.227	2829108219.166	40.494	42.33	1.0	1.0	1.0	95.0	71.0	0.0673758865248227	0.0267520723436322	1	2	17.468519229636286	17.1816564166423	11.11334139460882	11.10997325688246	21.72224866501587	21.76322738203932	3.7011538149893246	3.745496054532832	-1.0	5.837577313715801	1.37156108951407	0.0202732917542828	9.44698491892596e-55	0.0546828042217027	7.565683949099871e-09	393730	9666	401438	6065	403396
35	FR_IE	FR	0.0299481800494022	2.38014403731696	1.21587673959863	1.66192917447937	1.36655191519066	0.854130739734375	1.40934087676945	IE	FR	FRA	FR	fr	66965912.0	IE	IE	IRL	en	4867316.0	11988.0	9977.0	7969551.0	836534.0	2207397.0	770861.0	0.0329629946651066	0.1583749647649752	0.1190090713615607	0.1718676165673237	0.0143305591882696	0.0012518898492524	62098596.0	13.758283209884052	0	0	778.203125	8468632.25	7108524.25	1.0	1.0	67059.891	4941.444	FRA	IRL	2715518274.227	388698711.3480001	40.494	78.661	1.0	1.0	1.0	4.0	5.0	0.0028368794326241	0.0333333333333333	1	2	15.951879571888544	15.776805220460949	11.11334139460882	8.505412875160706	21.72224866501587	19.778315080530103	3.7011538149893246	4.365147479864629	0.0	6.656987576219594	1.36655191519066	0.0203142194009821	2.52703673845095e-53	0.0538114097691946	6.4972120521717e-09	392927	9631	402196	6096	402558
36	FR_IT	FR	0.0848955241276721	3.2468229159564	2.03337072956147	2.56069756103265	2.03662437271744	2.05881779379227	1.3196279722375	IT	FR	FRA	FR	fr	66965912.0	IT	IT	ITA	it	60421760.0	128402.0	380356.0	7969551.0	5906811.0	2207397.0	3236664.0	0.0329629946651066	0.0535678537003887	0.1190090713615607	0.0977596647300575	0.0217379564032097	0.0477261516991358	6544152.0	1.1083078678939509	1	0	1109.90100097656	41810870.0	54417180.0	1.0	1.0	67059.891	60297.398	FRA	ITA	2715518274.227	2003576145.498	40.494	33.228	1.0	1.0	1.0	56.0	96.0	0.0397163120567375	0.1652323580034423	3	0	17.548666911535292	17.81219047079259	11.11334139460882	11.007044230872143	21.72224866501587	21.418199493556337	3.7011538149893246	3.5033928939768253	0.0	7.012026102019461	2.03662437271744	0.0624699315713699	4.9260386287798294e-30	0.0486270643663025	1.8747741947369798e-48	11243	810	786863	12018	12053
37	FR_NL	FR	0.0336314442510761	2.70704611329606	1.34643314564708	1.41931774393756	0.742525372181998	1.83283677765342	2.18962113096473	NL	FR	FRA	FR	fr	66965912.0	NL	NL	NLD	nl	17231624.0	25160.0	44504.0	7969551.0	2028487.0	2207397.0	1019145.0	0.0329629946651066	0.0591438740771038	0.1190090713615607	0.1177188522683642	0.0124033331246392	0.0055842543701646	49734288.0	3.886221751356692	0	0	427.916900634766	20080664.0	55931108.0	1.0	1.0	67059.891	17332.85	FRA	NLD	2715518274.227	907050863.145	40.494	52.331	1.0	1.0	1.0	44.0	5.0	0.0312056737588652	0.0093632958801498	1	2	16.81526791997016	17.83963127707893	11.11334139460882	9.760358823891288	21.72224866501587	20.625709084946987	3.7011538149893246	3.957588929698953	0.0	6.058929019335404	0.742525372181998	0.304883638847917	0.328850564983063	0.215088000332151	0.166335044680082	2573	29	803698	4558	2602
38	FR_NO	FR	-0.0063292302149276		0.927732736776476	1.05620075567333	0.543100031522945	0.860089581526428	2.02509320464166	NO	FR	FRA	FR	fr	66965912.0	NO	NO	NOR	no	5311916.0	6385.0	4131.0	7969551.0	770901.0	2207397.0	190350.0	0.0329629946651066	0.0358345275038234	0.1190090713615607	0.1451267301666668	0.0082825161726343	0.000518347896889	61653996.0	12.606733992028488	0	0	1342.8896484375	2469624.75	4075421.5	1.0	1.0	67059.891	5347.896	FRA	NOR	2715518274.227	403336363.636	40.494	75.42	1.0	0.0	1.0	0.0	1.0	0.0	0.0087719298245614	1	2	14.719576773985755	15.220484734890832	11.11334139460882	8.584458491510683	21.72224866501587	19.815281421005835	3.7011538149893246	4.323072491830211	0.0	7.202579025193059	0.543100031522945	0.574446800350648	0.287920594980585	0.438609243045139	0.163979232898582	939	6	806944	2961	945
39	FR_PL	FR	0.0711669442177593		1.79233184747767	1.72947098753229	1.87300670047315	2.99673701926687	0.792347655639015	PL	FR	FRA	FR	fr	66965912.0	PL	PL	POL	pl	37974750.0	27991.0	113345.0	7969551.0	656454.0	2207397.0	4294300.0	0.0329629946651066	0.1130830354380213	0.1190090713615607	0.0172865917484644	0.042639697526407	0.0142222566867317	28991162.0	1.7634325966596225	0	0	1368.17810058594	11047312.5	14656651.5	1.0	1.0	67059.891	37970.875	FRA	POL	2715518274.227	595858207.012	40.494	15.693	1.0	1.0	1.0	14.0	5.0	0.0099290780141843	0.0119904076738609	1	2	16.217697743677356	16.500404817691894	11.11334139460882	10.54457469746915	21.72224866501587	20.205513289027117	3.7011538149893246	2.753214753056584	0.0	7.221235280195248	1.87300670047315	0.270385901618607	0.0202912181490137	0.219839128224138	0.0043095861370254	1398	31	805951	3467	1429
40	FR_PT	FR	0.137407561998693	4.37556146896806	1.70870004622967	1.77953960517202	1.0972641255558	2.57190172889255	1.1892575602638	PT	FR	FRA	FR	fr	66965912.0	PT	PT	PRT	pt	10283822.0	93781.0	724000.0	7969551.0	890184.0	2207397.0	2289642.0	0.0329629946651066	0.2226450438368147	0.1190090713615607	0.0865615915950315	0.1053501298607928	0.0908457703577027	56682090.0	6.511772763083608	0	0	1452.85986328125	8481546.5	8276809.0	1.0	0.0	67059.891	10269.417	FRA	PRT	2715518274.227	238785085.031	40.494	23.252	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3	0	15.953403361423666	15.92896806560756	11.11334139460882	9.23692553402793	21.72224866501587	19.291074479538	3.7011538149893246	3.146391149839104	-1.0	7.28128921245051	1.0972641255558	0.0803083111278814	0.247765468063668	0.0642808693496043	0.148746205664406	11163	328	790744	8619	11491
41	FR_RO	FR	-0.0008576488793563	1.58668354579832	1.1989755836673	1.27132152358366	0.928628040464953	1.31152200909218	0.978021076194063	RO	FR	FRA	FR	fr	66965912.0	RO	RO	ROU	ro	19472545.0	8536.0	91158.0	7969551.0	377910.0	2207397.0	3662849.0	0.0329629946651066	0.1881032499860701	0.1190090713615607	0.0194073245176734	0.0225873885316609	0.0114382855445683	47493367.0	3.4389912566641905	0	0	1875.01843261719	4788073.5	4941125.5	1.0	2.0	67059.891	19356.544	FRA	ROU	2715518274.227	250077444.017	40.494	12.92	1.0	1.0	1.0					2	1	15.38163869641937	15.413103697221976	11.11334139460882	9.87078583249864	21.72224866501587	19.33728120392382	3.7011538149893246	2.558776498354456	1.0	7.536373769085358	0.928628040464953	0.341266888102191	0.828226456849739	0.267632277082104	0.782030108609271	1557	23	804063	5208	1580
