	Outcome	Total	Sig Pos	Sig Neg	No Sig
0	betw	407	0.3808353808353808	0.02457002457002457	0.5945945945945946
1	domain	205	0.5609756097560976	0.03414634146341464	0.4048780487804877
2	hashtag	284	0.5	0.035211267605633804	0.4647887323943662
3	politics	240	0.43333333333333335	0.05416666666666667	0.5125
4	entertainment	228	0.47368421052631576	0.03508771929824561	0.4912280701754387
5	promotion	146	0.3698630136986301	0.03424657534246575	0.5958904109589042
6	sports	199	0.4321608040201005	0.03015075376884422	0.5376884422110553
